date,open,high,low,close,adj_close,volume,source,source_symbol,fetched_at_bjt,status
2004-08-19,2.502502918243408,2.6041040420532227,2.4014010429382324,2.5110108852386475,2.487342596054077,893181924,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-20,2.527777910232544,2.7297298908233643,2.515014886856079,2.7104599475860596,2.684911012649536,456686856,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-23,2.771522045135498,2.8398399353027344,2.7289791107177734,2.7377378940582275,2.7119314670562744,365122512,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-24,2.7837839126586914,2.792793035507202,2.59184193611145,2.6243739128112793,2.5996365547180176,304946748,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-25,2.626626968383789,2.7027029991149902,2.599600076675415,2.6526529788970947,2.6276490688323975,183772044,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-26,2.626375913619995,2.701451063156128,2.6191189289093018,2.7004499435424805,2.6749954223632812,141897960,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-27,2.705204963684082,2.7182180881500244,2.644895076751709,2.6564059257507324,2.631366729736328,124235640,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-30,2.6346349716186523,2.63988995552063,2.5528030395507812,2.5528030395507812,2.528740644454956,103935960,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-08-31,2.5600600242614746,2.5953450202941895,2.5565569400787354,2.561811923980713,2.5376641750335693,98357544,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-01,2.5700700283050537,2.576827049255371,2.49424409866333,2.508759021759033,2.485111713409424,182765052,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-02,2.482232093811035,2.561811923980713,2.47597599029541,2.540290117263794,2.516345739364624,302373324,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-03,2.526276111602783,2.546046018600464,2.485485076904297,2.5027530193328857,2.4791622161865234,103048848,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-07,2.527777910232544,2.5525529384613037,2.4927430152893066,2.5420420169830322,2.518080711364746,116950932,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-08,2.5210208892822266,2.5783278942108154,2.515014886856079,2.5600600242614746,2.5359292030334473,99712188,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-09,2.5658159255981445,2.570319890975952,2.5275280475616455,2.560309886932373,2.5361766815185547,81234684,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-10,2.5425429344177246,2.6666669845581055,2.5350348949432373,2.6358859539031982,2.6110401153564453,173977848,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-13,2.6684179306030273,2.712963104248047,2.6641640663146973,2.690190076828003,2.664832592010498,156882960,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-14,2.688939094543457,2.8028030395507812,2.672421932220459,2.7900400161743164,2.7637412548065186,216579204,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-15,2.7667670249938965,2.8586089611053467,2.7577579021453857,2.8028030395507812,2.776383399963379,214261524,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-16,2.8113110065460205,2.897897958755493,2.794044017791748,2.852102041244507,2.8252182006835938,185326488,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-17,2.863363027572632,2.940190076828003,2.8415920734405518,2.940190076828003,2.9124755859375,189450360,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-20,2.9266769886016846,3.0430428981781006,2.9221720695495605,2.9869871139526367,2.958831787109375,212575212,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-21,2.9982481002807617,3.0135140419006348,2.9406909942626953,2.948949098587036,2.921151876449585,144575280,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-22,2.9379379749298096,2.9947450160980225,2.923172950744629,2.9624619483947754,2.934537887573242,151624224,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-23,2.9739739894866943,3.068819046020508,2.9284279346466064,3.023524045944214,2.9950244426727295,170713116,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-24,3.026526927947998,3.1056060791015625,2.996997117996216,2.998749017715454,2.9704833030700684,182469348,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-27,2.9919919967651367,3.025024890899658,2.9479479789733887,2.959459066390991,2.93156361579895,141322536,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
2004-09-28,3.035536050796509,3.188188076019287,3.008258104324341,3.1746749877929688,3.1447503566741943,338581080,Yahoo Finance,GOOGL,2026-09-18T13:25:36+08:00,confirmed
