date_bjt,generated_at_bjt,investment_monetization_gap_ppt,investment_cash_flow_gap_ppt,price_fundamental_gap_points,liquidity_stress_score,nvidia_demand_quality_score,compute_demand_score,compute_coverage_pct
2026-09-11,2026-09-11T23:36:32+08:00,24.94,173.57,-32.4,24.8,65.6,84.3,70.0
2026-09-12,2026-09-12T20:09:39+08:00,24.94,173.57,-30.8,24.4,63.3,84.3,70.0
2026-09-13,2026-09-13T20:09:54+08:00,24.94,173.57,-30.8,24.4,63.3,84.3,70.0
2026-09-14,2026-09-14T23:47:34+08:00,24.94,173.57,-30.8,24.1,63.3,84.3,70.0
2026-09-15,2026-09-15T23:45:12+08:00,24.94,173.57,-37.6,26.6,63.3,84.3,70.0
2026-09-16,2026-09-16T23:54:59+08:00,24.94,173.57,-38.1,26.2,63.3,84.3,70.0
2026-09-17,2026-09-17T20:10:37+08:00,24.94,173.57,-38.1,26.2,63.3,84.3,70.0
2026-09-18,2026-09-18T23:30:17+08:00,24.94,173.57,-31.2,24.5,63.3,84.3,70.0
2026-09-19,2026-09-19T05:29:08+08:00,24.94,173.57,-31.2,24.5,63.3,84.3,70.0
