date_bjt,generated_at_bjt,bubble_score,bubble_label,breakdown_score,breakdown_label,regime,coverage_pct
2026-09-11,2026-09-11T23:48:46+08:00,58.2,high,26.3,stable,Speculative Expansion,92.5
2026-09-12,2026-09-12T20:09:51+08:00,58.5,high,26.1,stable,Speculative Expansion,92.5
2026-09-13,2026-09-13T20:10:06+08:00,58.5,high,26.1,stable,Speculative Expansion,92.5
2026-09-14,2026-09-14T23:47:51+08:00,58.5,high,26.0,stable,Speculative Expansion,92.5
2026-09-15,2026-09-15T23:45:26+08:00,57.2,high,28.0,stable,Speculative Expansion,92.5
2026-09-16,2026-09-16T23:55:15+08:00,57.1,high,27.9,stable,Speculative Expansion,92.5
2026-09-17,2026-09-17T20:10:50+08:00,57.1,high,27.9,stable,Speculative Expansion,92.5
2026-09-18,2026-09-18T23:31:08+08:00,58.5,high,26.2,stable,Speculative Expansion,92.5
2026-09-19,2026-09-19T13:28:51+08:00,58.5,high,26.5,stable,Speculative Expansion,92.5
